Token: INT, Raw: int
Token: Identifier, Raw: integer
Token: Identifier, Raw: int_value
Token: Identifier, Raw: int1
Token: IF, Raw: if
Token: Identifier, Raw: iff
Token: Identifier, Raw: _if
Token: ELSE, Raw: else
Token: Identifier, Raw: elsewhere
Token: Identifier, Raw: whilex
Token: Identifier, Raw: returns
Token: Identifier, Raw: structs
Token: Identifier, Raw: Int
Token: Identifier, Raw: INT
Token: Identifier, Raw: While
Token: IF, Raw: if
Token: LPAREN, Raw: (
Token: Identifier, Raw: x
Token: RPAREN, Raw: )
Token: ELSE, Raw: else
Token: LBRACE, Raw: {
Token: RBRACE, Raw: }
Token: EOF, Raw: <EOF>
