Token: INT, Raw: int
Token: Identifier, Raw: value
Token: ASSIGN, Raw: =
Token: Number, Raw: 8
Token: DIV, Raw: /
Token: Number, Raw: 2
Token: SEMI, Raw: ;
Token: Identifier, Raw: ret
Token: Identifier, Raw: urn
Token: Identifier, Raw: x
Token: Identifier, Raw: y
Token: Identifier, Raw: p
Token: Identifier, Raw: q
Token: Identifier, Raw: m
Token: Identifier, Raw: n
Token: Identifier, Raw: o
Token: Identifier, Raw: r
Token: Identifier, Raw: s
Token: Identifier, Raw: t
Token: Identifier, Raw: u
Token: Identifier, Raw: a
Token: Identifier, Raw: b
Token: Identifier, Raw: w
Token: Identifier, Raw: z
Token: Identifier, Raw: k
Token: MUL, Raw: *
Token: DIV, Raw: /
Token: Identifier, Raw: l
Token: EOF, Raw: <EOF>
